country,status,life_expectancy,adult_mortality,percentage_expenditure,hiv/aids,income_composition_of_resources,schooling
Finland,0.0,80.7125,68.875,2889.3154698924996,0.10000000000000002,0.8729374999999999,17.29375
France,0.0,82.21875,73.125,3751.5065741337494,0.10000000000000002,0.8705624999999998,15.899999999999999
Gabon,0.0,62.243750000000006,220.4375,261.077778610625,8.0,0.6543749999999999,12.412500000000003
Gambia,0.0,59.462500000000006,249.625,0.0,2.34375,0.42018750000000005,8.125
Georgia,0.0,73.50625,114.9375,99.5257140183125,0.10000000000000002,0.6779375,12.674999999999999
Germany,1.0,81.175,71.25,3900.8902608937497,0.10000000000000002,0.8945000000000001,16.6
Ghana,0.0,60.8625,180.0625,77.24912203487499,2.2875,0.525875,9.512499999999998
Greece,0.0,81.21875,73.625,1759.24682044375,0.10000000000000002,0.8423125,15.9375
Grenada,0.0,73.29375,153.75,363.84122981125,0.10000000000000002,0.23318750000000002,15.20625
Guatemala,0.0,71.73125,131.1875,334.0270480281251,0.375,0.5844374999999998,9.862499999999999
Guinea,0.0,56.0125,259.875,15.8912829451875,2.19375,0.36474999999999996,7.174999999999998
Guinea-Bissau,0.0,55.36875,158.3125,21.961644662687497,4.818749999999999,0.25418750000000007,8.2875
Guyana,0.0,65.6375,203.9375,187.76501795668753,1.0625,0.6198125000000001,10.787500000000001
Haiti,0.0,59.868750000000006,168.3125,36.129200178937495,2.7375,0.4620625,8.45
Honduras,0.0,72.99374999999999,142.0,192.11563525374999,0.81875,0.590125,10.887500000000001
Hungary,1.0,73.82499999999999,147.0625,376.831080251,0.10000000000000002,0.8043125,15.118749999999999
Iceland,1.0,82.44375000000001,49.375,4991.59530846875,0.10000000000000002,0.8853124999999998,18.156250000000004
India,0.0,65.41874999999999,146.5625,33.2426210915625,0.2562499999999999,0.5495000000000001,9.981250000000003
Indonesia,0.0,67.55625,166.5625,83.76831559187498,0.20000000000000007,0.6414374999999999,11.6125
Iran (Islamic Republic of),0.0,73.85624999999999,107.0,0.0,0.10000000000000002,0.715,12.656250000000002
Iraq,0.0,70.35625,136.75,120.663689503125,0.10000000000000002,0.6335,9.906249999999998
Ireland,1.0,80.15,72.4375,4867.3126046874995,0.10000000000000002,0.8915,17.65625
Israel,0.0,81.3,59.5,1467.5358269218748,0.10000000000000002,0.8731875,15.712499999999999
Italy,1.0,82.1875,54.1875,2937.1376542306252,0.10000000000000002,0.8580625,15.93125
Jamaica,0.0,74.29375,141.25,134.249450170875,1.2375,0.7096250000000001,12.275
Japan,1.0,82.5375,57.125,3923.05032917375,0.10000000000000002,0.8765624999999999,14.975
Jordan,0.0,72.9875,114.3125,273.59953421874997,0.10000000000000002,0.729,13.237499999999997
Kazakhstan,0.0,66.7625,232.0625,203.03090856000003,0.10000000000000002,0.7450625,14.025
Kenya,0.0,57.481249999999996,348.5625,61.65546434349999,8.7625,0.49712500000000004,9.96875
Kiribati,0.0,65.14999999999999,129.4375,77.12610334500002,0.10000000000000002,0.36375,11.69375
Kuwait,0.0,73.84375000000001,83.25,1719.8409805812503,0.10000000000000002,0.7895,13.725
Kyrgyzstan,0.0,69.08125,173.6875,0.0,0.11250000000000004,0.6220625000000001,12.337499999999999
Lao People's Democratic Republic,0.0,62.38125,197.1875,0.0,0.20000000000000007,0.5156250000000001,9.23125
Latvia,1.0,73.73125,161.8125,530.60519180375,0.10000000000000002,0.7924999999999999,15.568749999999998
Lebanon,0.0,74.2,65.3125,333.0479451320625,0.10000000000000002,0.4696875,13.743749999999999
Lesotho,0.0,48.78124999999999,550.0625,82.11891290006248,22.968749999999996,0.4568125,10.65625
Liberia,0.0,57.525,246.9375,25.27170667675,2.28125,0.38943750000000005,9.86875
Libya,0.0,72.48750000000001,139.6875,180.0749890925,0.10000000000000002,0.7408125,14.79375
Lithuania,1.0,72.80624999999999,117.25,1015.75384256375,0.10000000000000002,0.8066874999999999,16.1
Luxembourg,1.0,80.78125,67.5625,8177.5763413625,0.10000000000000002,0.8781250000000002,13.6375
Madagascar,0.0,62.74375,228.8125,43.253156571750004,0.525,0.45668749999999997,9.33125
Malawi,0.0,49.893750000000004,424.4375,25.849706456812505,16.68125,0.410625,10.23125
Malaysia,0.0,73.75625000000001,118.5625,248.88502812000002,0.10000000000000002,0.749125,12.562499999999998
Maldives,0.0,75.5375,83.1875,626.4998210524999,0.10000000000000002,0.6386249999999999,12.000000000000002
Mali,0.0,54.9375,202.125,48.981176981125,1.8249999999999997,0.36518749999999994,6.43125
Malta,1.0,80.36250000000001,60.75,1181.43178558125,0.10000000000000002,0.8111875,14.306250000000002
Mauritania,0.0,62.8,159.9375,31.7031471238125,1.1875000000000004,0.4730625,7.318750000000001
Mauritius,0.0,72.7125,163.5625,422.23952429893745,0.10625000000000002,0.722625,13.531249999999998
Mexico,0.0,75.71874999999999,111.0625,465.32749578749997,0.10000000000000002,0.7288749999999999,12.325
Micronesia (Federated States of),0.0,68.2,154.0625,0.0,0.10000000000000002,0.5868125,10.4
Mongolia,0.0,65.8875,222.125,126.37836398937499,0.10000000000000002,0.6620625,12.66875
Montenegro,0.0,74.5,92.75,455.049824020625,0.10000000000000002,0.58375,10.71875
Morocco,0.0,72.15624999999999,95.1875,102.98965830775,0.10000000000000002,0.5854999999999999,10.287500000000001
Mozambique,0.0,53.393750000000004,226.25,37.03415152218751,11.3875,0.36081250000000004,7.987500000000001
Myanmar,0.0,64.2,154.3125,12.824563635250001,0.47500000000000003,0.4882500000000001,8.325
Namibia,0.0,60.400000000000006,313.1875,359.93007941693753,13.64375,0.5883125000000001,11.549999999999999
Nepal,0.0,66.48125,147.25,40.1620642759375,0.15625,0.494375,10.431249999999999
Netherlands,1.0,81.13125,61.625,3805.687047718751,0.10000000000000002,0.8997499999999999,17.056250000000002
New Zealand,1.0,81.33749999999999,71.5,2922.147779791875,0.10000000000000002,0.8911875,18.868749999999995
Nicaragua,0.0,73.45,162.375,183.6629076488125,0.22499999999999998,0.6035,11.112499999999999
Niger,0.0,56.98125,232.4375,19.099368610625003,1.1624999999999999,0.298125,4.01875
Nigeria,0.0,51.35625000000001,248.5,85.44427533293752,4.83125,0.36737500000000006,9.0
Norway,1.0,81.79375,66.25,4658.8139180937505,0.10000000000000002,0.9314374999999998,17.46875
Oman,0.0,74.84375,67.75,387.410820335625,0.10000000000000002,0.7155,12.225
Pakistan,0.0,64.5,154.0,26.1203906045625,0.10000000000000002,0.500875,6.718749999999998
Panama,0.0,76.4875,115.875,569.9716162019376,0.12500000000000003,0.74825,12.775000000000002
Papua New Guinea,0.0,61.68125,266.5625,75.37048165187501,1.16875,0.4661874999999999,8.54375
Paraguay,0.0,73.1125,139.9375,229.790694404375,0.1375,0.6561875,12.16875
Peru,0.0,73.66250000000001,122.4375,417.078699565,0.29374999999999996,0.7032499999999999,13.306250000000002
Philippines,0.0,67.57499999999999,217.9375,89.55657082674999,0.10000000000000002,0.6504375,11.543750000000001
Poland,1.0,75.65,107.5625,310.682268485,0.10000000000000002,0.8131875,15.25
Portugal,1.0,79.99375,58.875,1614.8970459187499,0.10000000000000002,0.8049999999999998,15.937500000000002
Qatar,0.0,77.03125,75.375,2466.8550051575003,0.10000000000000002,0.8283750000000001,12.85
Romania,1.0,74.05000000000001,156.0625,426.53663424262504,0.10000000000000002,0.762625,13.924999999999999
Russian Federation,0.0,67.76249999999999,224.5625,326.08407506487504,0.26249999999999996,0.7621875,13.74375
Rwanda,0.0,59.3125,246.8125,20.191353437500002,4.425000000000001,0.41768749999999993,9.2875
Saint Lucia,0.0,73.6,146.25,0.0,0.15,0.6647499999999998,12.70625
Saint Vincent and the Grenadines,0.0,73.475,152.0625,0.0,0.28125,0.6572500000000001,13.18125
Samoa,0.0,73.61875,133.5625,254.59701798437504,0.10000000000000002,0.6784375,12.64375
Sao Tome and Principe,0.0,65.1625,164.9375,52.315094208812496,0.96875,0.5282500000000001,10.25625
Saudi Arabia,0.0,73.46875,52.125,838.506400329375,0.10000000000000002,0.7826249999999998,13.287500000000001
Senegal,0.0,62.56875,174.1875,21.486426224687495,0.53125,0.4325625,7.125000000000001
Serbia,0.0,73.95625,130.4375,464.7447380456875,0.10000000000000002,0.7416875,13.531249999999998
Seychelles,0.0,72.37500000000001,161.1875,466.8304218925,0.10000000000000002,0.6908124999999999,12.90625
Sierra Leone,0.0,46.1125,357.8125,29.1055785935625,1.5187499999999998,0.3618125,8.23125
Singapore,1.0,81.47500000000001,62.0,2332.57175895,0.10000000000000002,0.8668750000000001,13.981249999999998
Slovakia,1.0,74.75,118.0625,0.0,0.10000000000000002,0.8033124999999999,14.350000000000003
Slovenia,1.0,79.73125,76.4375,1556.3345450087497,0.10000000000000002,0.8604375,16.475
Solomon Islands,0.0,67.7125,140.0625,112.02741557056251,0.10000000000000002,0.48024999999999995,8.6375
South Africa,0.0,57.49999999999999,412.75,616.359643518125,18.493750000000002,0.6290624999999999,12.89375
South Sudan,0.0,53.875,346.3125,8.2410769375,3.6937499999999996,0.1316875,1.53125
Spain,1.0,82.06875,63.625,2332.680183884375,0.10000000000000002,0.8505625,16.35625
Sri Lanka,0.0,73.4,144.375,59.75360089375,0.10000000000000002,0.7251875,13.21875
Sudan,0.0,61.825,240.3125,97.69844266624999,0.25000000000000006,0.44099999999999995,6.374999999999998
Suriname,0.0,70.08125,166.0,508.494032814375,0.7625,0.48106249999999995,11.825
Swaziland,0.0,51.324999999999996,339.0,278.0997131315,32.94375,0.5156875000000001,10.35
Sweden,1.0,82.51875,59.1875,4438.163153549999,0.10000000000000002,0.893125,15.868750000000002
Switzerland,1.0,82.33125,55.75,9801.81037748125,0.10000000000000002,0.9110624999999999,15.393749999999997
Syrian Arab Republic,0.0,70.85,139.625,39.299485632499994,0.10000000000000002,0.6180625,10.98125
Tajikistan,0.0,66.65625,177.5625,17.277192458187503,0.2562499999999999,0.5838125,10.681249999999999
Thailand,0.0,73.08125,160.375,401.2599633999999,0.3875,0.6946875000000001,12.55
The former Yugoslav republic of Macedonia,0.0,74.1125,60.8125,0.0,0.10000000000000002,0.45575000000000004,12.381250000000001
Timor-Leste,0.0,64.75625,170.375,21.1875232745,0.10000000000000002,0.517625,10.700000000000001
Togo,0.0,56.66250000000001,311.3125,23.705604090625005,3.8625000000000003,0.44593749999999993,10.649999999999999
Tonga,0.0,72.53124999999999,129.625,323.80934292818745,0.10000000000000002,0.6988125000000001,14.218749999999998
Trinidad and Tobago,0.0,71.06875,163.375,559.314872033125,0.625,0.7533749999999999,12.33125
Tunisia,0.0,74.35625000000002,18.75,366.74126047625,0.10000000000000002,0.692625,14.05625
Turkey,0.0,73.9125,98.375,253.41717753406252,0.10000000000000002,0.7033125,12.674999999999999
Turkmenistan,0.0,64.61874999999999,214.8125,187.78198755506253,0.10000000000000002,0.211625,9.831249999999999
Uganda,0.0,55.70625,300.1875,47.6921083495625,7.65,0.4453125,10.59375
Ukraine,0.0,69.9375,205.75,169.42733017693746,0.5375,0.7165625000000001,14.606250000000001
United Arab Emirates,0.0,75.7,67.0625,1886.73158978125,0.10000000000000002,0.8195625000000001,12.812500000000002
Uruguay,0.0,76.075,119.9375,621.8389194,0.10000000000000002,0.765625,15.231249999999998
Uzbekistan,0.0,68.03125,184.8125,44.373450264937496,0.20625,0.603,11.643749999999999
Vanuatu,0.0,71.38749999999999,137.875,282.32574587000005,0.10000000000000002,0.3675,10.568749999999998
Venezuela (Bolivarian Republic of),0.0,73.3875,163.0,0.0,0.10000000000000002,0.7268125,12.787500000000001
Viet Nam,0.0,74.775,126.5625,0.0,0.14375,0.6270625000000001,11.512500000000001
Yemen,0.0,63.862500000000004,211.8125,0.0,0.10000000000000002,0.4755,8.50625
Zambia,0.0,53.90624999999999,354.3125,89.65040685112501,11.931249999999999,0.4984375,11.212499999999999
Zimbabwe,0.0,50.48749999999999,462.375,20.364271458875002,23.262500000000003,0.43912499999999993,9.825000000000001
